NamaPembeli,Kelamin,Menikah,Tanggungan,Pendidikan,Pekerjaan,PendapatanUtama,PemasukanTambahan,JenisProperti,NUP,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjaman,PersetujuanPembelian
Pembeli 161,L,Ya,0,SMA,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Tidak,Ya,115000000,"Rp40.000.000,00",18,2+,ya
Pembeli 162,L,Ya,0,SMP,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Ya,Ya,241000000,"Rp72.000.000,00",18,2,ya
Pembeli 163,L,Ya,1,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,122000000,"Rp42.000.000,00",18,2+,tidak
Pembeli 164,L,Ya,2,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,149000000,"Rp10.000.000,00",18,1,tidak
Pembeli 165,L,Ya,0,SD,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,195000000,"Rp62.000.000,00",12,0,tidak
Pembeli 166,L,Ya,0,SD,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,138000000,"Rp30.000.000,00",12,2,ya
Pembeli 167,P,Ya,0,SD,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,117000000,"Rp47.000.000,00",18,1,tidak
Pembeli 168,L,Ya,0,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,131000000,"Rp41.000.000,00",18,0,tidak
Pembeli 169,L,Tidak,0,SD,Wiraswasta,> 30jt,1jt s.d. <5jt,Tanah,Ya,Ya,108000000,"Rp14.000.000,00",24,2,ya
Pembeli 170,L,Ya,2,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,112000000,"Rp43.000.000,00",18,1,ya
Pembeli 171,L,Ya,0,PascaSarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,119000000,"Rp39.000.000,00",18,1,ya
Pembeli 172,,Ya,3+,SD,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,213000000,"Rp51.000.000,00",18,1,ya
Pembeli 173,L,Ya,3+,SMA,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,115000000,"Rp26.000.000,00",12,2,ya
Pembeli 174,L,Ya,0,SMA,Wiraswasta,> 30jt,10jt s.d. <20jt,Tanah,Tidak,Ya,132000000,"Rp47.000.000,00",18,2+,ya
Pembeli 175,L,Ya,0,SMP,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,139000000,"Rp30.000.000,00",18,2,ya
Pembeli 176,L,Ya,0,SD,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Ya,Ya,107000000,"Rp38.000.000,00",18,2+,ya
Pembeli 177,L,Ya,2,SMA,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,120000000,"Rp30.000.000,00",18,2+,ya
Pembeli 178,L,Ya,3+,SMP,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,137000000,"Rp40.000.000,00",18,2+,ya
Pembeli 179,L,Ya,1,SMA,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,105000000,"Rp19.000.000,00",18,0,ya
Pembeli 180,L,Tidak,0,SMP,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Rumah,Ya,Ya,190000000,"Rp50.000.000,00",24,0,ya
Pembeli 181,L,Ya,1,SMP,Wiraswasta,> 30jt,10jt s.d. <20jt,Rumah,Tidak,Ya,198000000,"Rp99.000.000,00",18,2+,ya
Pembeli 182,L,Tidak,0,SMA,PNS,10jt s.d. <20jt,< 1jt,Tanah,Tidak,Ya,123000000,"Rp19.000.000,00",18,2+,ya
Pembeli 183,L,Ya,0,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,116000000,"Rp13.000.000,00",12,2+,tidak
Pembeli 184,L,Ya,1,PascaSarjana,Wiraswasta,5jt s.d. <10jt,10jt s.d. <20jt,Tanah,Ya,Ya,133000000,"Rp38.000.000,00",18,0,ya
Pembeli 185,P,Ya,0,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,143000000,"Rp32.000.000,00",18,2,tidak
Pembeli 186,L,Ya,0,SMA,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,148000000,"Rp39.000.000,00",18,2+,tidak
Pembeli 187,L,Ya,1,Sarjana,PNS,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,108000000,"Rp24.000.000,00",18,2+,ya
Pembeli 188,L,Ya,0,Sarjana,Wiraswasta,> 30jt,5jt s.d. <10jt,Tanah,Ya,Ya,110000000,"Rp23.000.000,00",18,2,ya
Pembeli 189,,Ya,0,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,136000000,"Rp19.000.000,00",18,2+,ya
Pembeli 190,L,Ya,0,SMP,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,102000000,"Rp13.000.000,00",12,1,ya
Pembeli 191,L,Tidak,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,106000000,"Rp25.000.000,00",18,2,ya
Pembeli 192,L,Tidak,0,SMA,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,150000000,"Rp30.000.000,00",18,2,ya
Pembeli 193,L,Ya,1,PascaSarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,209000000,"Rp64.000.000,00",18,1,ya
Pembeli 194,L,Tidak,0,SMP,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,150000000,"Rp41.000.000,00",18,0,ya
Pembeli 195,L,Tidak,0,SMA,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Tanah,Tidak,Ya,125000000,"Rp49.000.000,00",18,2+,ya
Pembeli 196,L,Ya,1,SMP,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,117000000,"Rp18.000.000,00",18,0,ya
Pembeli 197,L,Tidak,0,SMP,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,145000000,"Rp29.000.000,00",18,2+,ya
Pembeli 198,P,Tidak,0,SMA,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,206000000,"Rp96.000.000,00",12,0,tidak
Pembeli 199,P,Ya,1,SMA,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,105000000,"Rp36.000.000,00",18,1,ya
Pembeli 200,L,Tidak,0,SMA,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,214000000,"Rp73.000.000,00",18,2+,tidak
Pembeli 201,L,Ya,1,SD,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,139000000,"Rp22.000.000,00",18,1,tidak
Pembeli 202,L,Tidak,2,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,138000000,"Rp17.000.000,00",18,2+,tidak
Pembeli 203,L,Ya,3+,SMP,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,197000000,"Rp59.000.000,00",12,2,tidak
Pembeli 204,L,Ya,1,SMP,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,196000000,"Rp89.000.000,00",18,2,tidak
Pembeli 205,L,Ya,2,PascaSarjana,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,126000000,"Rp27.000.000,00",18,1,ya
Pembeli 206,P,Tidak,0,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,142000000,"Rp50.000.000,00",18,2,ya
Pembeli 207,P,Tidak,0,Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,236000000,"Rp57.000.000,00",18,1,ya
Pembeli 208,L,Tidak,0,SMA,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,141000000,"Rp32.000.000,00",18,1,ya
Pembeli 209,L,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,191000000,"Rp73.000.000,00",18,1,ya
Pembeli 210,L,Tidak,0,PascaSarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,150000000,"Rp22.000.000,00",18,2,ya
Pembeli 211,P,Tidak,0,SMA,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,140000000,"Rp14.000.000,00",18,1,tidak
Pembeli 212,L,Ya,3+,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,105000000,"Rp23.000.000,00",18,2,tidak
Pembeli 213,L,Ya,1,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Ya,Ya,195000000,"Rp93.000.000,00",18,2,ya
Pembeli 214,L,Ya,3+,Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,111000000,"Rp20.000.000,00",18,1,ya
Pembeli 215,L,Ya,1,SMP,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,188000000,"Rp62.000.000,00",18,2,tidak
Pembeli 216,L,Ya,3+,PascaSarjana,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,150000000,"Rp49.000.000,00",18,2+,tidak
Pembeli 217,L,Ya,1,PascaSarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,140000000,"Rp23.000.000,00",18,0,ya
Pembeli 218,L,Ya,1,PascaSarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Tanah,Tidak,Ya,125000000,"Rp26.000.000,00",18,2,ya
Pembeli 219,L,Ya,2,SD,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,141000000,"Rp26.000.000,00",18,2+,tidak
Pembeli 220,P,Ya,2,SMP,PNS,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,147000000,"Rp18.000.000,00",18,2+,ya
Pembeli 221,L,Ya,1,SMP,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,188000000,"Rp67.000.000,00",18,0,tidak
Pembeli 222,L,Ya,2,SMA,POLRI-TNI,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,125000000,"Rp45.000.000,00",18,0,ya
Pembeli 223,L,Tidak,0,SMA,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,143000000,"Rp31.000.000,00",18,1,ya
Pembeli 224,L,Ya,0,SMA,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,110000000,"Rp46.000.000,00",18,1,ya
Pembeli 225,L,Ya,0,PascaSarjana,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,102000000,"Rp27.000.000,00",18,1,ya
Pembeli 226,L,Ya,0,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,103000000,"Rp38.000.000,00",18,2,tidak
Pembeli 227,L,Ya,1,SD,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Ya,Ya,246000000,"Rp67.000.000,00",18,0,ya
Pembeli 228,L,Ya,2,SMA,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,148000000,"Rp33.000.000,00",18,2,ya
Pembeli 229,L,tidak,0,PascaSarjana,POLRI-TNI,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,101000000,"Rp37.000.000,00",24,2+,tidak
Pembeli 230,L,Tidak,0,SMA,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,124000000,"Rp30.000.000,00",12,1,tidak
Pembeli 231,L,Ya,1,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,131000000,"Rp21.000.000,00",12,0,tidak
Pembeli 232,L,Ya,0,SMA,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,139000000,"Rp39.000.000,00",24,2+,ya
Pembeli 233,L,Tidak,0,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,128000000,"Rp47.000.000,00",12,2+,tidak
Pembeli 234,P,Tidak,0,PascaSarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Ya,Ya,134000000,"Rp46.000.000,00",18,0,ya
Pembeli 235,L,Ya,1,Sarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,119000000,"Rp34.000.000,00",18,2,ya
Pembeli 236,L,Ya,1,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,108000000,"Rp20.000.000,00",18,2+,tidak
Pembeli 237,L,Ya,0,PascaSarjana,PNS,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,203000000,"Rp73.000.000,00",18,1,ya
Pembeli 238,P,Tidak,0,SMA,POLRI-TNI,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,238000000,"Rp84.000.000,00",18,2,ya
Pembeli 239,P,Tidak,1,Sarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Tanah,Ya,Ya,146000000,"Rp42.000.000,00",18,1,ya
Pembeli 240,L,Ya,1,Sarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,100000000,"Rp35.000.000,00",18,1,ya
Pembeli 241,L,Ya,2,SMP,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,101000000,"Rp20.000.000,00",12,2,tidak
Pembeli 242,L,Ya,1,PascaSarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,212000000,"Rp62.000.000,00",12,0,ya
Pembeli 243,L,Tidak,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,231000000,"Rp93.000.000,00",24,2,ya
Pembeli 244,L,Ya,2,SMA,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,118000000,"Rp34.000.000,00",18,2,tidak
Pembeli 245,L,Ya,0,SMA,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,128000000,"Rp35.000.000,00",18,1,ya
Pembeli 246,L,Tidak,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Rumah,Tidak,Ya,186000000,"Rp69.000.000,00",12,2+,tidak
Pembeli 247,L,Ya,2,Sarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Rumah,Tidak,Ya,193000000,"Rp87.000.000,00",18,1,ya
Pembeli 248,L,Ya,1,SMA,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Tidak,Ya,237000000,"Rp89.000.000,00",12,2,ya
Pembeli 249,L,Ya,1,SMA,POLRI-TNI,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,107000000,"Rp48.000.000,00",24,1,ya
Pembeli 250,L,Ya,0,Sarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Rumah,Tidak,Ya,204000000,"Rp100.000.000,00",18,0,ya
Pembeli 251,L,Ya,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,112000000,"Rp12.000.000,00",18,2,tidak
Pembeli 252,P,Tidak,2,SMP,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,189000000,"Rp90.000.000,00",18,1,tidak
Pembeli 253,L,Tidak,0,SMA,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,112000000,"Rp15.000.000,00",18,0,tidak
Pembeli 254,L,Ya,1,Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,134000000,"Rp18.000.000,00",12,2,ya
Pembeli 255,L,Tidak,0,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Ya,Ya,189000000,"Rp75.000.000,00",18,2,ya
Pembeli 256,P,Tidak,3+,SD,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,130000000,"Rp12.000.000,00",18,2+,tidak
Pembeli 257,L,Tidak,0,SMA,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,146000000,"Rp32.000.000,00",18,1,tidak
Pembeli 258,L,Ya,3+,PascaSarjana,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,184000000,"Rp99.000.000,00",18,1,tidak
Pembeli 259,L,Ya,0,SMP,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Ya,Ya,105000000,"Rp35.000.000,00",18,1,tidak
Pembeli 260,L,Ya,3+,PascaSarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,103000000,"Rp10.000.000,00",18,1,tidak
Pembeli 261,L,Ya,1,SMP,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,197000000,"Rp62.000.000,00",18,0,tidak
Pembeli 262,L,Tidak,0,SMP,Wiraswasta,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,142000000,"Rp25.000.000,00",18,2+,ya
Pembeli 263,P,Tidak,1,SMP,PNS,10jt s.d. <20jt,< 1jt,Tanah,Tidak,Ya,139000000,"Rp10.000.000,00",18,2,tidak
Pembeli 264,P,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,132000000,"Rp24.000.000,00",18,0,tidak
Pembeli 265,L,Tidak,0,SMA,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,122000000,"Rp30.000.000,00",18,0,tidak
Pembeli 266,L,Tidak,0,SMP,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,121000000,"Rp36.000.000,00",18,2+,tidak
Pembeli 267,L,Ya,2,SMA,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,150000000,"Rp12.000.000,00",18,1,tidak
Pembeli 268,L,Ya,3+,PascaSarjana,POLRI-TNI,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,230000000,"Rp93.000.000,00",18,2+,tidak
Pembeli 269,P,Tidak,0,SD,PNS,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,110000000,"Rp38.000.000,00",18,1,tidak
Pembeli 270,P,Tidak,1,SD,Wiraswasta,> 30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,206000000,"Rp81.000.000,00",18,2,ya
Pembeli 271,P,Tidak,0,Sarjana,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,242000000,"Rp91.000.000,00",18,2,tidak
Pembeli 272,L,Ya,0,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,246000000,"Rp94.000.000,00",18,2+,tidak
Pembeli 273,L,Tidak,0,SMA,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,102000000,"Rp15.000.000,00",18,2+,tidak
Pembeli 274,L,Ya,0,SMA,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,132000000,"Rp41.000.000,00",18,2,ya
Pembeli 275,L,Ya,2,SMP,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,139000000,"Rp22.000.000,00",18,1,tidak
Pembeli 276,L,Ya,1,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,108000000,"Rp22.000.000,00",18,1,tidak
Pembeli 277,L,Ya,0,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,121000000,"Rp43.000.000,00",18,2+,ya
Pembeli 278,L,Ya,0,SD,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,212000000,"Rp84.000.000,00",18,1,tidak
Pembeli 279,L,Ya,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,141000000,"Rp47.000.000,00",18,1,tidak
Pembeli 280,P,Ya,0,SD,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,109000000,"Rp37.000.000,00",18,0,tidak
Pembeli 281,L,Tidak,1,SMP,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,249000000,"Rp78.000.000,00",18,2,tidak
Pembeli 282,L,Ya,0,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,120000000,"Rp22.000.000,00",18,1,tidak
Pembeli 283,L,Ya,2,Sarjana,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Rumah,Ya,Ya,238000000,"Rp89.000.000,00",12,2+,ya
Pembeli 284,P,Tidak,0,Sarjana,Wiraswasta,> 30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,228000000,"Rp63.000.000,00",18,0,ya
Pembeli 285,L,Ya,0,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,110000000,"Rp44.000.000,00",18,1,tidak
Pembeli 286,L,Tidak,0,SMA,POLRI-TNI,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,127000000,"Rp46.000.000,00",18,1,ya
Pembeli 287,P,Tidak,0,SMP,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,145000000,"Rp15.000.000,00",18,0,tidak
Pembeli 288,L,Ya,0,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,127000000,"Rp44.000.000,00",18,0,tidak
Pembeli 289,P,Tidak,0,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,113000000,"Rp39.000.000,00",18,0,tidak
Pembeli 290,L,Tidak,0,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,142000000,"Rp41.000.000,00",18,2+,tidak
Pembeli 291,L,Ya,0,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,132000000,"Rp36.000.000,00",18,0,ya
Pembeli 292,L,Ya,2,PascaSarjana,Wiraswasta,> 30jt,1jt s.d. <5jt,Tanah,Tidak,Ya,108000000,"Rp16.000.000,00",18,2+,ya
Pembeli 293,L,Ya,2,SD,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,247000000,"Rp63.000.000,00",18,1,tidak
Pembeli 294,P,Tidak,,SD,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,225000000,"Rp65.000.000,00",24,1,ya
Pembeli 295,L,Ya,0,SMA,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Tidak,Ya,145000000,"Rp43.000.000,00",18,1,ya
Pembeli 296,L,Ya,3+,PascaSarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,196000000,"Rp83.000.000,00",18,2,tidak
Pembeli 297,L,Ya,1,PascaSarjana,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Tidak,Ya,125000000,"Rp50.000.000,00",18,2+,tidak
Pembeli 298,P,Ya,1,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Ya,Ya,207000000,"Rp87.000.000,00",18,1,ya
Pembeli 299,P,Tidak,0,SMP,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Tidak,Ya,149000000,"Rp43.000.000,00",24,2,ya
Pembeli 300,L,Ya,1,SMA,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,219000000,"Rp56.000.000,00",18,0,ya
Pembeli 301,L,Ya,0,SMP,PNS,1jt s.d. <5jt,< 1jt,Rumah,Ya,Ya,191000000,"Rp73.000.000,00",18,2+,tidak
Pembeli 302,L,Ya,,SMA,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,123000000,"Rp45.000.000,00",18,1,tidak
Pembeli 303,P,Tidak,0,SMP,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,106000000,"Rp12.000.000,00",18,2+,ya
Pembeli 304,L,Ya,1,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,193000000,"Rp84.000.000,00",18,1,tidak
Pembeli 305,L,Tidak,0,SMP,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,123000000,"Rp24.000.000,00",18,2,tidak
Pembeli 306,L,Tidak,0,SMP,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Rumah,Tidak,Ya,228000000,"Rp61.000.000,00",18,1,ya
Pembeli 307,P,Tidak,0,SD,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Ya,Ya,142000000,"Rp20.000.000,00",18,2+,ya
Pembeli 308,P,Tidak,0,PascaSarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,247000000,"Rp56.000.000,00",18,1,ya
Pembeli 309,L,Tidak,0,PascaSarjana,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,104000000,"Rp49.000.000,00",18,2+,tidak
Pembeli 310,L,Ya,2,SMA,PNS,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,136000000,"Rp14.000.000,00",18,0,ya
Pembeli 311,P,Tidak,0,Sarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,122000000,"Rp44.000.000,00",18,0,ya
Pembeli 312,L,Tidak,0,SMA,PNS,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,111000000,"Rp47.000.000,00",18,2+,tidak
Pembeli 313,P,Tidak,0,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,106000000,"Rp32.000.000,00",18,1,tidak
Pembeli 314,L,Ya,2,Sarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,129000000,"Rp18.000.000,00",12,0,ya
Pembeli 315,,Ya,0,SMP,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,141000000,"Rp44.000.000,00",18,2+,tidak
Pembeli 316,L,Ya,1,SMA,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Ya,Ya,195000000,"Rp82.000.000,00",12,2,ya
Pembeli 317,L,Ya,2,SD,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,148000000,"Rp33.000.000,00",18,1,ya
Pembeli 318,L,Ya,0,Sarjana,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,180000000,"Rp58.000.000,00",18,0,tidak
Pembeli 319,P,Tidak,1,PascaSarjana,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Tidak,Ya,146000000,"Rp41.000.000,00",18,1,ya
Pembeli 320,L,Ya,1,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,123000000,"Rp17.000.000,00",18,0,tidak
Pembeli 321,L,Ya,0,SD,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,107000000,"Rp17.000.000,00",18,0,tidak
Pembeli 322,L,Ya,3+,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,148000000,"Rp34.000.000,00",18,2+,tidak
