"Nama Pembeli,Kelamin,Menikah,Tanggungan,Pendidikan (int),Pendidikan,Pekerjaan (int),Pekerjaan,PU (int),Pendapatan Utama,PT (int),Pemasukan Tambahan,Jenis Properti,NUP (int),NUP,BF (int),Booking Fee,Biaya Rumah/Tanah,Uang Muka,Periode Cicilan,Riwayat Pinjaman,Persetujuan Pembelian"
"Pembeli 150,L,Ya,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,127000000,17000000,18,2,tidak"
"Pembeli 151,L,Tidak,0,2,SMP,1,Wiraswasta,6,> 30jt,4,10jt s.d. <20jt,Tanah,1,Ya,1,Ya,105000000,38000000,18,0,ya"
"Pembeli 152,L,Ya,0,2,SMP,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,Tanah,1,Ya,1,Ya,106000000,50000000,18,1,ya"
"Pembeli 153,L,Tidak,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,1,Ya,1,Ya,222000000,55000000,18,2+,ya"
"Pembeli 154,L,Ya,2,2,SMP,3,POLRI-TNI,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,100000000,44000000,18,0,ya"
"Pembeli 155,L,Tidak,0,5,PascaSarjana,1,Wiraswasta,6,> 30jt,3,5jt s.d. <10jt,Rumah,0,Tidak,1,Ya,205000000,91000000,18,1,ya"
"Pembeli 156,L,Ya,3+,5,PascaSarjana,3,POLRI-TNI,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,106000000,15000000,12,2,ya"
"Pembeli 157,L,Ya,1,3,SMA,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,142000000,12000000,18,0,ya"
"Pembeli 158,L,Ya,1,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,184000000,96000000,18,2,ya"
"Pembeli 159,L,Tidak,0,4,Sarjana,2,PNS,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,124000000,37000000,18,2,tidak"
"Pembeli 160,L,Ya,0,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Tanah,1,Ya,1,Ya,128000000,28000000,18,2+,ya"
"Pembeli 161,L,Ya,0,3,SMA,1,Wiraswasta,5,20jt s.d. <30jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,115000000,40000000,18,2+,ya"
"Pembeli 162,L,Ya,0,2,SMP,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Rumah,1,Ya,1,Ya,241000000,72000000,18,2,ya"
"Pembeli 163,L,Ya,1,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,122000000,42000000,18,2+,tidak"
"Pembeli 164,L,Ya,2,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,149000000,10000000,18,1,tidak"
"Pembeli 165,L,Ya,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,195000000,62000000,12,0,tidak"
"Pembeli 166,L,Ya,0,1,SD,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,138000000,30000000,12,2,ya"
"Pembeli 167,P,Ya,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,117000000,47000000,18,1,tidak"
"Pembeli 168,L,Ya,0,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,131000000,41000000,18,0,tidak"
"Pembeli 169,L,Tidak,0,1,SD,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,108000000,14000000,24,2,ya"
"Pembeli 170,L,Ya,2,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,112000000,43000000,18,1,ya"
"Pembeli 171,L,Ya,0,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,119000000,39000000,18,1,ya"
"Pembeli 172,,Ya,3+,1,SD,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,213000000,51000000,18,1,ya"
"Pembeli 173,L,Ya,3+,3,SMA,2,PNS,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,115000000,26000000,12,2,ya"
"Pembeli 174,L,Ya,0,3,SMA,1,Wiraswasta,6,> 30jt,4,10jt s.d. <20jt,Tanah,0,Tidak,1,Ya,132000000,47000000,18,2+,ya"
"Pembeli 175,L,Ya,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,139000000,30000000,18,2,ya"
"Pembeli 176,L,Ya,0,1,SD,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Tanah,1,Ya,1,Ya,107000000,38000000,18,2+,ya"
"Pembeli 177,L,Ya,2,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,120000000,30000000,18,2+,ya"
"Pembeli 178,L,Ya,3+,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,137000000,40000000,18,2+,ya"
"Pembeli 179,L,Ya,1,3,SMA,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,105000000,19000000,18,0,ya"
"Pembeli 180,L,Tidak,0,2,SMP,1,Wiraswasta,4,10jt s.d. <20jt,4,10jt s.d. <20jt,Rumah,1,Ya,1,Ya,190000000,50000000,24,0,ya"
"Pembeli 181,L,Ya,1,2,SMP,1,Wiraswasta,6,> 30jt,4,10jt s.d. <20jt,Rumah,0,Tidak,1,Ya,198000000,99000000,18,2+,ya"
"Pembeli 182,L,Tidak,0,3,SMA,2,PNS,4,10jt s.d. <20jt,1,< 1jt,Tanah,0,Tidak,1,Ya,123000000,19000000,18,2+,ya"
"Pembeli 183,L,Ya,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,116000000,13000000,12,2+,tidak"
"Pembeli 184,L,Ya,1,5,PascaSarjana,1,Wiraswasta,3,5jt s.d. <10jt,4,10jt s.d. <20jt,Tanah,1,Ya,1,Ya,133000000,38000000,18,0,ya"
"Pembeli 185,P,Ya,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,143000000,32000000,18,2,tidak"
"Pembeli 186,L,Ya,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,148000000,39000000,18,2+,tidak"
"Pembeli 187,L,Ya,1,4,Sarjana,2,PNS,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,108000000,24000000,18,2+,ya"
"Pembeli 188,L,Ya,0,4,Sarjana,1,Wiraswasta,6,> 30jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,110000000,23000000,18,2,ya"
"Pembeli 189,,Ya,0,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,136000000,19000000,18,2+,ya"
"Pembeli 190,L,Ya,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,102000000,13000000,12,1,ya"
"Pembeli 191,L,Tidak,0,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,106000000,25000000,18,2,ya"
"Pembeli 192,L,Tidak,0,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,150000000,30000000,18,2,ya"
"Pembeli 193,L,Ya,1,5,PascaSarjana,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,209000000,64000000,18,1,ya"
"Pembeli 194,L,Tidak,0,2,SMP,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,150000000,41000000,18,0,ya"
"Pembeli 195,L,Tidak,0,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,4,10jt s.d. <20jt,Tanah,0,Tidak,1,Ya,125000000,49000000,18,2+,ya"
"Pembeli 196,L,Ya,1,2,SMP,1,Wiraswasta,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,117000000,18000000,18,0,ya"
"Pembeli 197,L,Tidak,0,2,SMP,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,145000000,29000000,18,2+,ya"
"Pembeli 198,P,Tidak,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Rumah,0,Tidak,1,Ya,206000000,96000000,12,0,tidak"
"Pembeli 199,P,Ya,1,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,105000000,36000000,18,1,ya"
"Pembeli 200,L,Tidak,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,214000000,73000000,18,2+,tidak"
"Pembeli 201,L,Ya,1,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,139000000,22000000,18,1,tidak"
"Pembeli 202,L,Tidak,2,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,138000000,17000000,18,2+,tidak"
"Pembeli 203,L,Ya,3+,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,197000000,59000000,12,2,tidak"
"Pembeli 204,L,Ya,1,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,196000000,89000000,18,2,tidak"
"Pembeli 205,L,Ya,2,5,PascaSarjana,3,POLRI-TNI,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,126000000,27000000,18,1,ya"
"Pembeli 206,P,Tidak,0,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,142000000,50000000,18,2,ya"
"Pembeli 207,P,Tidak,0,4,Sarjana,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,236000000,57000000,18,1,ya"
"Pembeli 208,L,Tidak,0,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,141000000,32000000,18,1,ya"
"Pembeli 209,L,Tidak,0,4,Sarjana,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Rumah,1,Ya,1,Ya,191000000,73000000,18,1,ya"
"Pembeli 210,L,Tidak,0,5,PascaSarjana,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,150000000,22000000,18,2,ya"
"Pembeli 211,P,Tidak,0,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,140000000,14000000,18,1,tidak"
"Pembeli 212,L,Ya,3+,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,105000000,23000000,18,2,tidak"
"Pembeli 213,L,Ya,1,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Rumah,1,Ya,1,Ya,195000000,93000000,18,2,ya"
"Pembeli 214,L,Ya,3+,4,Sarjana,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,111000000,20000000,18,1,ya"
"Pembeli 215,L,Ya,1,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,188000000,62000000,18,2,tidak"
"Pembeli 216,L,Ya,3+,5,PascaSarjana,2,PNS,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,150000000,49000000,18,2+,tidak"
"Pembeli 217,L,Ya,1,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,140000000,23000000,18,0,ya"
"Pembeli 218,L,Ya,1,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,125000000,26000000,18,2,ya"
"Pembeli 219,L,Ya,2,1,SD,1,Wiraswasta,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,141000000,26000000,18,2+,tidak"
"Pembeli 220,P,Ya,2,2,SMP,2,PNS,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,147000000,18000000,18,2+,ya"
"Pembeli 221,L,Ya,1,2,SMP,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,188000000,67000000,18,0,tidak"
"Pembeli 222,L,Ya,2,3,SMA,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,125000000,45000000,18,0,ya"
"Pembeli 223,L,Tidak,0,3,SMA,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,143000000,31000000,18,1,ya"
"Pembeli 224,L,Ya,0,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,110000000,46000000,18,1,ya"
"Pembeli 225,L,Ya,0,5,PascaSarjana,1,Wiraswasta,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,102000000,27000000,18,1,ya"
"Pembeli 226,L,Ya,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,103000000,38000000,18,2,tidak"
"Pembeli 227,L,Ya,1,1,SD,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,246000000,67000000,18,0,ya"
"Pembeli 228,L,Ya,2,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,148000000,33000000,18,2,ya"
"Pembeli 229,L,tidak,0,5,PascaSarjana,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,101000000,37000000,24,2+,tidak"
"Pembeli 230,L,Tidak,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,124000000,30000000,12,1,tidak"
"Pembeli 231,L,Ya,1,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,131000000,21000000,12,0,tidak"
"Pembeli 232,L,Ya,0,3,SMA,3,POLRI-TNI,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,139000000,39000000,24,2+,ya"
"Pembeli 233,L,Tidak,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,128000000,47000000,12,2+,tidak"
"Pembeli 234,P,Tidak,0,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,134000000,46000000,18,0,ya"
"Pembeli 235,L,Ya,1,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,119000000,34000000,18,2,ya"
"Pembeli 236,L,Ya,1,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,108000000,20000000,18,2+,tidak"
"Pembeli 237,L,Ya,0,5,PascaSarjana,2,PNS,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,203000000,73000000,18,1,ya"
"Pembeli 238,P,Tidak,0,3,SMA,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,238000000,84000000,18,2,ya"
"Pembeli 239,P,Tidak,1,4,Sarjana,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,146000000,42000000,18,1,ya"
"Pembeli 240,L,Ya,1,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,100000000,35000000,18,1,ya"
"Pembeli 241,L,Ya,2,2,SMP,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,101000000,20000000,12,2,tidak"
"Pembeli 242,L,Ya,1,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,212000000,62000000,12,0,ya"
"Pembeli 243,L,Tidak,0,4,Sarjana,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,231000000,93000000,24,2,ya"
"Pembeli 244,L,Ya,2,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,118000000,34000000,18,2,tidak"
"Pembeli 245,L,Ya,0,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,128000000,35000000,18,1,ya"
"Pembeli 246,L,Tidak,0,4,Sarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Rumah,0,Tidak,1,Ya,186000000,69000000,12,2+,tidak"
"Pembeli 247,L,Ya,2,4,Sarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Rumah,0,Tidak,1,Ya,193000000,87000000,18,1,ya"
"Pembeli 248,L,Ya,1,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,237000000,89000000,12,2,ya"
"Pembeli 249,L,Ya,1,3,SMA,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,107000000,48000000,24,1,ya"
"Pembeli 250,L,Ya,0,4,Sarjana,1,Wiraswasta,5,20jt s.d. <30jt,3,5jt s.d. <10jt,Rumah,0,Tidak,1,Ya,204000000,100000000,18,0,ya"
"Pembeli 251,L,Ya,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,112000000,12000000,18,2,tidak"
"Pembeli 252,P,Tidak,2,2,SMP,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,189000000,90000000,18,1,tidak"
"Pembeli 253,L,Tidak,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,112000000,15000000,18,0,tidak"
"Pembeli 254,L,Ya,1,4,Sarjana,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,134000000,18000000,12,2,ya"
"Pembeli 255,L,Tidak,0,3,SMA,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Rumah,1,Ya,1,Ya,189000000,75000000,18,2,ya"
"Pembeli 256,P,Tidak,3+,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,130000000,12000000,18,2+,tidak"
"Pembeli 257,L,Tidak,0,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,146000000,32000000,18,1,tidak"
"Pembeli 258,L,Ya,3+,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Rumah,0,Tidak,1,Ya,184000000,99000000,18,1,tidak"
"Pembeli 259,L,Ya,0,2,SMP,1,Wiraswasta,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,105000000,35000000,18,1,tidak"
"Pembeli 260,L,Ya,3+,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,103000000,10000000,18,1,tidak"
"Pembeli 261,L,Ya,1,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,197000000,62000000,18,0,tidak"
"Pembeli 262,L,Tidak,0,2,SMP,1,Wiraswasta,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,142000000,25000000,18,2+,ya"
"Pembeli 263,P,Tidak,1,2,SMP,2,PNS,4,10jt s.d. <20jt,1,< 1jt,Tanah,0,Tidak,1,Ya,139000000,10000000,18,2,tidak"
"Pembeli 264,P,Tidak,0,4,Sarjana,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,132000000,24000000,18,0,tidak"
"Pembeli 265,L,Tidak,0,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,122000000,30000000,18,0,tidak"
"Pembeli 266,L,Tidak,0,2,SMP,3,POLRI-TNI,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,121000000,36000000,18,2+,tidak"
"Pembeli 267,L,Ya,2,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,150000000,12000000,18,1,tidak"
"Pembeli 268,L,Ya,3+,5,PascaSarjana,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,230000000,93000000,18,2+,tidak"
"Pembeli 269,P,Tidak,0,1,SD,2,PNS,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,110000000,38000000,18,1,tidak"
"Pembeli 270,P,Tidak,1,1,SD,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,206000000,81000000,18,2,ya"
"Pembeli 271,P,Tidak,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,242000000,91000000,18,2,tidak"
"Pembeli 272,L,Ya,0,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,246000000,94000000,18,2+,tidak"
"Pembeli 273,L,Tidak,0,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,102000000,15000000,18,2+,tidak"
"Pembeli 274,L,Ya,0,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,132000000,41000000,18,2,ya"
"Pembeli 275,L,Ya,2,2,SMP,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,139000000,22000000,18,1,tidak"
"Pembeli 276,L,Ya,1,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,108000000,22000000,18,1,tidak"
"Pembeli 277,L,Ya,0,3,SMA,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,121000000,43000000,18,2+,ya"
"Pembeli 278,L,Ya,0,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,212000000,84000000,18,1,tidak"
"Pembeli 279,L,Ya,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,141000000,47000000,18,1,tidak"
"Pembeli 280,P,Ya,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,109000000,37000000,18,0,tidak"
"Pembeli 281,L,Tidak,1,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,249000000,78000000,18,2,tidak"
"Pembeli 282,L,Ya,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,120000000,22000000,18,1,tidak"
"Pembeli 283,L,Ya,2,4,Sarjana,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,Rumah,1,Ya,1,Ya,238000000,89000000,12,2+,ya"
"Pembeli 284,P,Tidak,0,4,Sarjana,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,228000000,63000000,18,0,ya"
"Pembeli 285,L,Ya,0,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,110000000,44000000,18,1,tidak"
"Pembeli 286,L,Tidak,0,3,SMA,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,127000000,46000000,18,1,ya"
"Pembeli 287,P,Tidak,0,2,SMP,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,145000000,15000000,18,0,tidak"
"Pembeli 288,L,Ya,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,127000000,44000000,18,0,tidak"
"Pembeli 289,P,Tidak,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,113000000,39000000,18,0,tidak"
"Pembeli 290,L,Tidak,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,142000000,41000000,18,2+,tidak"
"Pembeli 291,L,Ya,0,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,132000000,36000000,18,0,ya"
"Pembeli 292,L,Ya,2,5,PascaSarjana,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,108000000,16000000,18,2+,ya"
"Pembeli 293,L,Ya,2,1,SD,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,247000000,63000000,18,1,tidak"
"Pembeli 294,P,Tidak,,1,SD,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,225000000,65000000,24,1,ya"
"Pembeli 295,L,Ya,0,3,SMA,1,Wiraswasta,5,20jt s.d. <30jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,145000000,43000000,18,1,ya"
"Pembeli 296,L,Ya,3+,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,196000000,83000000,18,2,tidak"
"Pembeli 297,L,Ya,1,5,PascaSarjana,2,PNS,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,125000000,50000000,18,2+,tidak"
"Pembeli 298,P,Ya,1,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Rumah,1,Ya,1,Ya,207000000,87000000,18,1,ya"
"Pembeli 299,P,Tidak,0,2,SMP,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Tanah,0,Tidak,1,Ya,149000000,43000000,24,2,ya"
"Pembeli 300,L,Ya,1,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,219000000,56000000,18,0,ya"
